1.00000e+01 1.26603e+01
7.99409e+00 1.22262e+01
6.17535e+00 1.06657e+01
5.00000e+00 9.32414e+00
4.23686e+00 8.32797e+00
3.70110e+00 7.56871e+00
3.29336e+00 6.95599e+00
2.96000e+00 6.43117e+00
2.66967e+00 5.95538e+00
2.40192e+00 5.50000e+00
2.14143e+00 5.04043e+00
1.87455e+00 4.55110e+00
1.58672e+00 4.00000e+00
1.25995e+00 3.34053e+00
8.70298e-01 2.49691e+00
3.89160e-01 1.33793e+00
-1.85008e-01 -3.50738e-01
-6.27053e-01 -2.70606e+00
9.53674e-07 -4.66025e+00
2.00591e+00 -4.22620e+00
3.82465e+00 -2.66572e+00
5.00000e+00 -1.32414e+00
5.76314e+00 -3.27972e-01
6.29890e+00 4.31290e-01
6.70664e+00 1.04401e+00
7.04000e+00 1.56883e+00
7.33033e+00 2.04462e+00
7.59808e+00 2.50000e+00
7.85857e+00 2.95957e+00
8.12545e+00 3.44890e+00
8.41328e+00 4.00000e+00
8.74005e+00 4.65947e+00
9.12970e+00 5.50309e+00
9.61084e+00 6.66207e+00
1.01850e+01 8.35074e+00
1.06271e+01 1.07061e+01
1.00000e+01 1.26603e+01
